statefips,countyfips,description,year,LaborForce,LabWorkRatio,Workforce,Live_in,Live_out,ctyin1,ctyin2,ctyin3,ctyin4,ctyin5,ctyout1,ctyout2,ctyout3,ctyout4,ctyout5,ctyind1,ctyind2,ctyind3,ctyind4,ctyind5,ctyoutd1,ctyoutd2,ctyoutd3,ctyoutd4,ctyoutd5
18,97,Marion,2016,556262,0.805728406,690384,505431,184953,Hamilton County,Hendricks County,Johnson County,Hancock County,Boone County,Hamilton County,Hendricks County,Johnson County,Out of State,Boone County,54836,33250,26882,15002,11284,15145,10014,7063,3045,2941
18,89,Lake,2016,289352,1.037952162,278772,236910,41862,Porter County,Illinois,Michigan Out of State,Jasper County,LaPorte County,Illinois,Porter County,Out of State,LaPorte County,Marion County,18163,13995,2673,2331,1737,36537,6462,5668,949,391
18,39,Elkhart,2016,126161,0.84666698,149009,117638,31371,St.Joseph County,Michigan,Kosciusko County,LaGrange County,Marshall County,St.Joseph County,Kosciusko County,LaGrange County,Out of State,Michigan,11047,7861,4109,3169,1533,4557,922,777,567,424
18,57,Hamilton,2016,213223,1.189150451,179307,145151,34156,Marion County,Madison County,Boone County,Hancock County,Hendricks County,Marion County,Madison County,Out of State,Boone County,Howard County,15145,5113,2556,2261,1873,54836,1811,1650,1546,1275
18,163,Vanderburgh,2016,113735,0.852394514,133430,104800,28630,Warrick County,Posey County,Gibson County,Kentucky,Illinois,Gibson County,Warrick County,Posey County,Kentucky,Out of State,14354,4857,2583,2564,927,2530,2219,1412,970,701
18,141,St. Joseph,2016,164727,0.977596705,168502,146709,21793,Michigan,Elkhart County,LaPorte County,Marshall County,Ohio Out of State,Elkhart County,Michigan,Out of State,Marshall County,LaPorte County,8186,4557,2231,2103,1694,11047,1588,1341,1195,856
18,127,Porter,2016,112082,1.165553961,96162,82188,13974,Lake County,LaPorte County,Jasper County,Illinois,Starke County,Lake County,Illinois,LaPorte County,Out of State,Jasper County,6462,3654,985,877,654,18163,5200,3202,1293,353
18,3,Allen,2016,236334,0.953182599,247942,223507,24435,Whitley County,Huntington County,DeKalb County,Wells County,Noble County,DeKalb County,Whitley County,Out of State,Noble County,Huntington County,4034,3126,2932,2929,2123,2575,1538,1255,1098,904
18,19,Clark,2016,74167,1.110467293,66789,52254,14535,Floyd County,Kentucky,Harrison County,Washington County,Scott County,Kentucky,Floyd County,Out of State,Jefferson County,Harrison County,6002,2918,1710,1449,868,13172,4655,1395,1124,332
18,63,Hendricks,2016,105516,1.272810615,82900,64387,18513,Marion County,Morgan County,Putnam County,Boone County,Johnson County,Marion County,Hamilton County,Boone County,Morgan County,Out of State,10014,2791,1432,882,857,33250,1873,1225,772,768
18,105,Monroe,2016,79544,0.890620626,89313,73430,15883,Lawrence County,Greene County,Owen County,Morgan County,Marion County,Marion County,Martin County,Out of State,Lawrence County,Owen County,3381,2739,2206,1107,894,1198,954,600,559,499
18,157,Tippecanoe,2016,103786,0.885228843,117242,98201,19041,Carroll County,Clinton County,White County,Benton County,Illinois Out of State,Marion County,Out of State,Clinton County,White County,Carroll County,2694,2397,2204,1325,1289,804,764,680,418,373
18,43,Floyd,2016,50855,1.219456634,41703,31834,9869,Clark County,Harrison County,Kentucky,Washington County,Crawford County,Kentucky,Clark County,Out of State,Jefferson County,Harrison County,4655,2373,1037,889,231,10004,6002,974,727,671
18,5,Bartholomew,2016,54707,0.870603775,62838,49936,12902,Johnson County,Jackson County,Jennings County,Brown County,Marion County,Jackson County,Marion County,Johnson County,Out of State,Decatur County,2815,2355,2254,1188,890,976,949,791,476,292
18,95,Madison,2016,78569,1.129644007,69552,61195,8357,Delaware County,Hamilton County,Henry County,Marion County,Hancock County,Marion County,Hamilton County,Delaware County,Hancock County,Grant County,1867,1811,1254,893,596,5720,5113,2200,887,722
18,167,Vigo,2016,62293,0.888465762,70113,58733,11380,Clay County,Illinois,Sullivan County,Vermillion County,Parke County,Illinois,Clay County,Out of State,Vermillion County,Marion County,2482,1781,1725,1642,967,659,552,412,355,318
18,11,Boone,2016,44202,1.227969774,35996,27119,8877,Marion County,Hamilton County,Hendricks County,Clinton County,Montgomery County,Marion County,Hamilton County,Hendricks County,Tippecanoe County,Clinton County,2941,1546,1225,911,368,11284,2556,882,699,315
18,51,Gibson,2016,22652,0.845476262,26792,18641,8151,Vanderburgh County,Illinois,Warrick County,Pike County,Kentucky Out of State,Vanderburgh County,Warrick County,Knox County,Posey County,Out of State,2530,1418,1097,647,528,2583,290,238,157,135
18,81,Johnson,2016,101207,1.282741226,78899,65600,13299,Marion County,Morgan County,Shelby County,Bartholomew County,Brown County,Marion County,Bartholomew County,Hamilton County,Hendricks County,Out of State,7063,1401,923,791,587,26882,2815,880,857,761
18,37,Dubois,2016,31338,0.859116704,36477,29434,7043,Spencer County,Pike County,Perry County,Martin County,Crawford County,Spencer County,Vanderburgh County,Orange County,Gibson County,Martin County,1534,1340,937,644,529,396,220,181,173,138
18,67,Howard,2016,54735,0.930851516,58801,49889,8912,Miami County,Cass County,Tipton County,Hamilton County,Grant County,Miami County,Marion County,Tipton County,Hamilton County,Tippecanoe County,2062,1314,1311,1275,579,598,597,563,524,518
18,35,Delaware,2016,66269,0.949276608,69810,59522,10288,Madison County,Randolph County,Henry County,Hamilton County,Blackford County,Madison County,Marion County,Grant County,Henry County,Hamilton County,2200,1304,1246,868,652,1867,1028,513,494,472
18,59,Hancock,2016,50528,1.364183698,37039,29803,7236,Marion County,Henry County,Hamilton County,Madison County,Shelby County,Marion County,Hamilton County,Shelby County,Madison County,Out of State,2097,1279,930,887,654,15002,2261,648,596,327
18,99,Marshall,2016,30980,1.033252176,29983,25149,4834,Starke County,St.Joseph County,Fulton County,Kosciusko County,Elkhart County,St.Joseph County,Elkhart County,Kosciusko County,Fulton County,Starke County,1515,1195,544,433,286,2103,1533,954,202,202
18,33,DeKalb,2016,28246,0.988002379,28589,22465,6124,Allen County,Steuben County,Noble County,Ohio (State),LaGrange County,Allen County,Noble County,Steuben County,Out of State,Ohio (State),2575,1168,977,709,167,2932,1206,765,152,149
18,87,LaGrange,2016,24844,1.061981705,23394,19199,4195,Noble County,Michigan,Elkhart County,Steuben County,Allen County,Elkhart County,Noble County,Michigan,Steuben County,Allen County,1190,1123,777,372,136,3169,734,380,373,352
18,113,Noble,2016,30666,1.100559862,27864,23064,4800,DeKalb County,Allen County,LaGrange County,Whitley County,Kosciusko County,Allen County,Elkhart County,LaGrange County,DeKalb County,Whitley County,1206,1098,734,566,360,2123,1507,1190,977,653
18,71,Jackson,2016,29047,0.967233858,30031,24906,5125,Jennings County,Scott County,Bartholomew County,Washington County,Lawrence County,Bartholomew County,Jennings County,Scott County,Marion County,Out of State,1581,1007,976,303,215,2355,392,309,182,163
18,85,Kosciusko,2016,54050,0.993438344,54407,46818,7589,Whitley County,Marshall County,Elkhart County,Wabash County,Fulton County,Elkhart County,Allen County,Marshall County,Noble County,Whitley County,1356,954,922,804,778,4109,513,433,360,321
18,137,Ripley,2016,19096,1.059946714,18016,14166,3850,Franklin County,Dearborn County,Decatur County,Ohio (State),Fayette County,Decatur County,Dearborn County,Ohio (State),Franklin County,Kentucky,1608,950,499,121,93,1055,922,805,394,310
18,91,LaPorte,2016,68183,1.058413536,64420,57481,6939,Porter County,Lake County,St.Joseph County,Michigan,Starke County,Porter County,St.Joseph County,Lake County,Michigan,Illinois,3202,949,856,552,551,3654,2231,1737,777,722
18,145,Shelby,2016,29209,1.117235312,26144,21423,4721,Rush County,Marion County,Hancock County,Johnson County,Decatur County,Marion County,Johnson County,Bartholomew County,Hancock County,Decatur County,923,905,648,594,421,3975,923,707,654,579
18,77,Jefferson,2016,20899,0.919283892,22734,18058,4676,Clark County,Kentucky,Floyd County,Scott County,Ripley County,Kentucky,Clark County,Jennings County,Out of State,Scott County,1124,865,727,290,284,777,415,244,238,236
